Name,Country,Query_Name,Latitude,Longitude,
Binic,France,BINIC,48.6014849,-2.82492,"Harbor.create(name: ""Binic"", lat: 48.6014849, lng: -2.82492, query: ""BINIC"")"
Biscarrosse,France,BISCARROSSE,44.3946602,-1.164218,"Harbor.create(name: ""Biscarrosse"", lat: 44.3946602, lng: -1.164218, query: ""BISCARROSSE"")"
Bissau,Guinee-Bissau,BISSAU,11.8816553,-15.6177942,"Harbor.create(name: ""Bissau"", lat: 11.8816553, lng: -15.6177942, query: ""BISSAU"")"
Bluff Harbour,Nouvelle-Zelande,BLUFF_HARBOUR,-46.5705416,168.338045,"Harbor.create(name: ""Bluff Harbour"", lat: -46.5705416, lng: 168.338045, query: ""BLUFF_HARBOUR"")"
Bodo,Norvege,BODO,67.2803556,14.404916,"Harbor.create(name: ""Bodo"", lat: 67.2803556, lng: 14.404916, query: ""BODO"")"
Bolama,Guinee-Bissau,BOLAMA,11.5770712,-15.4800382,"Harbor.create(name: ""Bolama"", lat: 11.5770712, lng: -15.4800382, query: ""BOLAMA"")"
Bolinao,Philippines,BOLINAO,16.3425356,119.8927296,"Harbor.create(name: ""Bolinao"", lat: 16.3425356, lng: 119.8927296, query: ""BOLINAO"")"
Bombay (Mumbai),Inde,BOMBAY,19.0176169,72.8561288,"Harbor.create(name: ""Bombay (Mumbai)"", lat: 19.0176169, lng: 72.8561288, query: ""BOMBAY"")"
Bonaire,Antilles Neerlandaises,KRALENDIJK,12.1783611,-68.2385339,"Harbor.create(name: ""Bonaire"", lat: 12.1783611, lng: -68.2385339, query: ""KRALENDIJK"")"
Bonanza,Espagne,BONANZA,36.8010667,-6.3352362,"Harbor.create(name: ""Bonanza"", lat: 36.8010667, lng: -6.3352362, query: ""BONANZA"")"
Bonny,Nigeria,BONNY,4.4142392,7.1898025,"Harbor.create(name: ""Bonny"", lat: 4.4142392, lng: 7.1898025, query: ""BONNY"")"
Booby Island,Australie,BOOBY_ISLAND,-10.6046333,141.9110724,"Harbor.create(name: ""Booby Island"", lat: -10.6046333, lng: 141.9110724, query: ""BOOBY_ISLAND"")"
Borkum,Allemagne,BORKUM_FISCHERBALJE,53.5876636,6.670324799999999,"Harbor.create(name: ""Borkum"", lat: 53.5876636, lng: 6.670324799999999, query: ""BORKUM_FISCHERBALJE"")"
Boston,Etats-Unis,BOSTON,42.3600825,-71.0588801,"Harbor.create(name: ""Boston"", lat: 42.3600825, lng: -71.0588801, query: ""BOSTON"")"
Botany Bay,Australie,BOTANY_BAY,-33.9656278,151.2038252,"Harbor.create(name: ""Botany Bay"", lat: -33.9656278, lng: 151.2038252, query: ""BOTANY_BAY"")"
Boucau-Bayonne,France,BOUCAU-BAYONNE,43.482131,-1.50811,"Harbor.create(name: ""Boucau-Bayonne"", lat: 43.482131, lng: -1.50811, query: ""BOUCAU-BAYONNE"")"
